UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
1;STRECHED;SITTING;THREE;0;350;15;3,474481;0,1489063;1,157846;3,977093;0,8212831;3,277184;2,319133;2,002971;0,6883639
1;STRECHED;SITTING;THREE;1;350;30;3,474481;0,2978127;0,8384615;4,368674;0,7837712;3,431637;2,427168;2,894788;0,6569231
1;STRECHED;SITTING;THREE;2;150;50;1,489063;0,4963545;0,7119231;2,809292;1,714395;1,499213;0,9064944;1,273304;1,436931
1;STRECHED;SITTING;THREE;3;350;50;3,474481;0,4963544;0,6963846;4,307964;2,247256;3,303864;1,304615;1,873411;1,883552
1;STRECHED;SITTING;THREE;4;150;30;1,489063;0,2978127;0,7383077;3,501199;0,8944313;1,537096;1,44282;1,954226;0,7496736
1;STRECHED;SITTING;THREE;5;150;15;1,489063;0,1489063;1,307539;2,645759;1,164286;1,444614;1,163996;0,8902194;0,9758539
1;APPLIED;SITTING;SIX;0;350;50;3,474481;0,4963544;0,7784615;3,853755;1,503035;3,430352;1,7147;2,202677;1,259779
1;APPLIED;SITTING;SIX;1;150;15;1,489063;0,1489063;0,9200769;3,759938;0,9330773;1,554442;1,414639;1,537523;0,782065
1;APPLIED;SITTING;SIX;2;350;30;3,474481;0,2978127;0,8200769;4,466611;1,1377;3,288244;1,959865;2,389855;0,9535711
1;APPLIED;SITTING;SIX;3;150;30;1,489063;0,2978127;0,6644616;3,890312;1,207048;1,482882;1,156086;1,739884;1,011695
1;APPLIED;SITTING;SIX;4;350;15;3,474481;0,1489063;0,9527692;4,833135;1,219033;3,302714;1,891143;1,984891;1,021741
1;APPLIED;SITTING;SIX;5;150;50;1,489063;0,4963545;0,5726923;3,492276;1,673813;1,469422;0,9091117;1,587435;1,402918
1;STRECHED;SITTING;SIX;0;150;30;1,489063;0,2978127;0,6506154;3,973104;1,143378;1,458052;1,186003;1,822894;0,9583297
1;STRECHED;SITTING;SIX;1;150;50;1,489063;0,4963545;0,5146154;3,886398;1,663059;1,355104;0,8598312;1,670823;1,393904
1;STRECHED;SITTING;SIX;2;150;15;1,489063;0,1489063;0,6123846;5,649116;0,972034;1,442202;1,312488;2,143242;0,8147168
1;STRECHED;SITTING;SIX;3;350;15;3,474481;0,1489063;0,7141538;6,447997;1,480912;3,340168;1,702871;2,384459;1,241236
