UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
13;STRECHED;STANDING;THREE;0;350;15;3,474481;0,1489063;1,333615;3,452916;1,271888;3,189035;1,810371;1,357491;1,066041
13;STRECHED;STANDING;THREE;1;350;30;3,474481;0,2978127;1,219154;3,004514;1,121033;3,469993;2,033988;1,66836;0,9396014
13;STRECHED;STANDING;THREE;2;150;50;1,489063;0,4963545;0,9704615;2,060875;0,5767754;1,561772;1,89055;1,948094;0,4834281
13;STRECHED;STANDING;THREE;3;350;50;3,474481;0,4963544;1,348846;2,224123;0,9300992;3,332945;2,196427;1,628375;0,7795689
13;STRECHED;STANDING;THREE;4;150;30;1,489063;0,2978127;0,9713077;2,661322;0,4816596;1,556537;2,081208;2,142686;0,4037062
13;STRECHED;STANDING;THREE;5;150;15;1,489063;0,1489063;0,9996923;3,460496;0,7967704;1,473217;1,510449;1,510913;0,6678184
13;APPLIED;STANDING;SIX;0;350;50;3,474481;0,4963544;1,054769;2,844224;1,718283;3,226602;1,524969;1,445785;1,44019
13;APPLIED;STANDING;SIX;1;150;15;1,489063;0,1489063;1,155846;2,992986;1,143525;1,503807;1,211051;1,047762;0,9584529
13;APPLIED;STANDING;SIX;2;350;30;3,474481;0,2978127;1,288;2,843917;0,9482811;3,318367;2,169716;1,684562;0,7948081
13;APPLIED;STANDING;SIX;3;150;30;1,489063;0,2978127;0,9416154;2,745243;0,5616234;1,559183;1,916938;2,035797;0,4707284
13;APPLIED;STANDING;SIX;4;350;15;3,474481;0,1489063;1,194;3,856668;0,7102368;3,366104;2,520903;2,111309;0,5952897
13;APPLIED;STANDING;SIX;5;150;50;1,489063;0,4963545;0,8303077;2,408746;0,9651805;1,525068;1,367419;1,646882;0,8089725
13;STRECHED;STANDING;SIX;0;150;30;1,489063;0,2978127;0,8206154;3,150029;0,7424055;1,412263;1,537187;1,873212;0,6222521
13;STRECHED;STANDING;SIX;1;150;50;1,489063;0,4963545;0,8173077;2,447059;0,8225304;1,436029;1,457262;1,783003;0,6894094
13;STRECHED;STANDING;SIX;2;150;15;1,489063;0,1489063;0,9557692;3,619526;0,7964839;1,426306;1,480654;1,549176;0,6675783
13;STRECHED;STANDING;SIX;3;350;15;3,474481;0,1489063;1,179538;3,903952;0,8431866;3,376187;2,323105;1,969503;0,7067225
13;STRECHED;STANDING;SIX;4;350;50;3,474481;0,4963544;0,9189231;3,264691;0,9672167;3,428981;2,184345;2,377071;0,8106792
13;STRECHED;STANDING;SIX;5;350;30;3,474481;0,2978127;1,075231;3,406678;0,9891665;3,42613;2,158225;2,00722;0,8290765
13;APPLIED;STANDING;THREE;0;350;15;3,474481;0,1489063;1,095692;4,202696;0,7621851;3,268276;2,402731;2,192889;0,6388305
13;APPLIED;STANDING;THREE;1;350;30;3,474481;0,2978127;1,032846;3,546477;1,037762;3,394459;2,094554;2,027944;0,8698068
13;APPLIED;STANDING;THREE;2;150;50;1,489063;0,4963545;0,874;2,28833;0,6441503;1,534988;1,758289;2,011772;0,5398989
13;APPLIED;STANDING;THREE;3;350;50;3,474481;0,4963544;1,197461;2,5053;1,010321;3,38801;2,122143;1,772201;0,846807
13;APPLIED;STANDING;THREE;4;150;30;1,489063;0,2978127;0,8441538;3,062194;1,239654;1,565302;1,178041;1,395529;1,039024
13;APPLIED;STANDING;THREE;5;150;15;1,489063;0,1489063;0,9841539;3,515133;0,6356102;1,44846;1,713189;1,740774;0,532741
13;APPLIED;SITTING;THREE;0;350;50;3,474481;0,4963544;2,039846;1,470699;1,364996;3,213215;1,745887;0,8558917;1,14408
13;APPLIED;SITTING;THREE;1;150;15;1,489063;0,1489063;3,637077;0,9511572;0,5955504;1,573998;1,865099;0,5128017;0,4991646
13;APPLIED;SITTING;THREE;2;350;30;3,474481;0,2978127;1,081769;3,386087;0,9013063;3,347165;2,236855;2,067774;0,7554359
13;APPLIED;SITTING;THREE;3;150;30;1,489063;0,2978127;0,7852308;3,291978;0,9428275;1,514674;1,382126;1,760153;0,7902372
13;APPLIED;SITTING;THREE;4;350;15;3,474481;0,1489063;0,9929231;4,637682;1,263052;3,306672;1,855193;1,868416;1,058635
13;APPLIED;SITTING;THREE;5;150;50;1,489063;0,4963545;0,8714615;2,294995;1,019557;1,463977;1,284451;1,473905;0,8545489
13;STRECHED;SITTING;SIX;0;150;30;1,489063;0,2978127;0,7486923;3,452637;0,7519058;1,340255;1,47637;1,971931;0,6302149
13;STRECHED;SITTING;SIX;1;150;50;1,489063;0,4963545;0,7046154;2,838428;0,9000257;1,400521;1,353939;1,921529;0,7543626
