id;ConditionHash;TaskNo;CircleNo;TargetNo;ArmPos;BodyPos;DOF;ballistic;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;targetID;target.x;target.y;pressed.x;pressed.y;click.x;click.y;difference.x;difference.y
14;957482412;0;0;0;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;0;0;2,73;-0,02682559;2,830666;0,161462;2,814769;-0,1882876;0,01589751
14;957482412;0;0;0;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;0;0;2,73;0,02079544;2,723623;-0,02109776;2,753008;0,0418932;-0,02938461
14;957482412;0;0;6;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;6;0,4188024;-0,7191482;0,4383552;-0,672164;0,4442193;-0,5932211;-0,005864084;-0,07894289
14;957482412;0;0;6;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;6;0,4188024;-0,7191482;0,4666748;-0,6425494;0,4569355;-0,5683037;0,00973928;-0,07424569
14;957482412;0;0;12;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;12;-0,8132655;2,529548;-0,7908724;2,482339;-0,7899542;2,561726;-0,0009181499;-0,07938743
14;957482412;0;0;12;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;12;-0,8132655;2,529548;-0,7889785;2,560936;-0,7313996;2,631275;-0,05757886;-0,07033873
14;957482412;0;0;5;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;5;1,160465;-0,3298937;1,230511;-0,2007564;1,083914;-0,1204597;0,1465974;-0,08029675
14;957482412;0;0;5;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;5;1,160465;-0,3298937;1,160703;-0,2214891;1,170374;-0,2781217;-0,009670973;0,05663264
14;957482412;0;0;11;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;11;-1,440222;1,974113;-1,359099;1,93738;-1,397172;2,008643;0,03807235;-0,07126307
14;957482412;0;0;11;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;11;-1,440222;1,974113;-1,417582;2,027771;-1,427832;2,013299;0,01025033;0,01447129
14;957482412;0;0;4;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;4;1,636278;0,3594415;1,686268;0,5248271;1,602209;0,4780418;0,08405852;0,0467853
14;957482412;0;0;4;APPLIED;STANDING;SIX;False;350;15;3,474481;0,1489063;4;1,636278;0,3594415;1,636448;0,4248188;1,64237;0,5044962;-0,005921125;-0,0796774
14;957482412;0;0;10;APPLIED;STANDING;SIX;True;350;15;3,474481;0,1489063;10;-1,737241;1,190939;-1,657671;1,331635;-1,646388;1,115951;-0,01128316;0,2156844
