UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
14;APPLIED;STANDING;SIX;0;350;15;3,474481;0,1489063;1,828769;2,518011;0,9617764;3,263354;2,135222;1,167573;0,8061193
14;APPLIED;STANDING;SIX;1;350;30;3,474481;0,2978127;1,307923;2,800596;1,436742;3,337266;1,7324;1,324543;1,204215
14;APPLIED;STANDING;SIX;2;150;50;1,489063;0,4963545;0,9702308;2,061365;1,24134;1,46726;1,125648;1,160186;1,040438
14;APPLIED;STANDING;SIX;3;350;50;3,474481;0,4963544;1,056;2,840909;1,633795;3,232472;1,574589;1,491088;1,369376
14;APPLIED;STANDING;SIX;4;150;30;1,489063;0,2978127;1,186462;2,178716;1,408907;1,445102;1,018414;0,858362;1,180885
14;APPLIED;STANDING;SIX;5;150;15;1,489063;0,1489063;1,236692;2,797326;1,037207;1,402754;1,234154;0,9979477;0,869342
14;APPLIED;STANDING;THREE;0;350;50;3,474481;0,4963544;1,119385;2,680044;1,287706;3,296622;1,831907;1,63653;1,079299
14;APPLIED;STANDING;THREE;1;150;15;1,489063;0,1489063;1,164615;2,97045;0,725914;1,513852;1,625478;1,39572;0,6084297
14;APPLIED;STANDING;THREE;2;350;30;3,474481;0,2978127;1,151308;3,181569;0,8624027;3,371987;2,29572;1,994011;0,7228286
14;APPLIED;STANDING;THREE;3;150;30;1,489063;0,2978127;1,044615;2,474559;1,048028;1,485099;1,273242;1,218862;0,8784119
14;APPLIED;STANDING;THREE;4;350;15;3,474481;0,1489063;1,337308;3,443382;0,4755496;3,362685;3,012775;2,252866;0,3985851
14;APPLIED;STANDING;THREE;5;150;50;1,489063;0,4963545;0,8368462;2,389925;0,5806977;1,444323;1,802078;2,153416;0,4867157
14;STRECHED;STANDING;THREE;0;150;30;1,489063;0,2978127;1,371923;1,884189;1,149983;1,432779;1,167302;0,8508509;0,963866
14;STRECHED;STANDING;THREE;1;150;50;1,489063;0,4963545;1,024308;1,952538;1,565403;1,463546;0,9522831;0,9296846;1,312053
14;STRECHED;STANDING;THREE;2;150;15;1,489063;0,1489063;1,588538;2,177745;0,9651508;1,470879;1,335705;0,8408391;0,8089476
14;STRECHED;STANDING;THREE;3;350;15;3,474481;0,1489063;2,225846;2,068814;0,6421895;3,426586;2,663524;1,196634;0,5382555
14;STRECHED;STANDING;THREE;4;350;50;3,474481;0,4963544;1,319154;2,274185;1,483418;3,505155;1,749702;1,326382;1,243336
14;STRECHED;STANDING;THREE;5;350;30;3,474481;0,2978127;1,671769;2,191071;1,506197;3,400604;1,703872;1,019203;1,262429
14;STRECHED;SITTING;SIX;0;350;15;3,474481;0,1489063;1,369462;3,362535;1,132724;3,240418;1,948874;1,423095;0,9494003
14;STRECHED;SITTING;SIX;1;350;30;3,474481;0,2978127;0,9857692;3,715844;1,505726;3,319922;1,680264;1,70452;1,262034
14;STRECHED;SITTING;SIX;2;150;50;1,489063;0,4963545;0,7697693;2,598181;1,129331;1,513948;1,226861;1,593803;0,946556
14;STRECHED;SITTING;SIX;3;350;50;3,474481;0,4963544;0,7923846;3,78604;1,737225;3,24587;1,520257;1,918585;1,456067
14;STRECHED;SITTING;SIX;4;150;30;1,489063;0,2978127;0,9182308;2,815156;1,019658;1,504577;1,307761;1,424218;0,8546329
14;STRECHED;SITTING;SIX;5;150;15;1,489063;0,1489063;1,679461;2,059846;1,17283;1,431003;1,150643;0,685126;0,9830155
14;STRECHED;STANDING;SIX;0;350;50;3,474481;0,4963544;0,997;3,009027;1,619048;3,245723;1,587226;1,592002;1,357016
14;STRECHED;STANDING;SIX;1;150;15;1,489063;0,1489063;0,9285384;3,725674;0,5889934;1,525157;1,843754;1,985652;0,4936688
14;STRECHED;STANDING;SIX;2;350;30;3,474481;0,2978127;1,116615;3,280418;1,201896;3,34623;1,91996;1,719446;1,007377
14;STRECHED;STANDING;SIX;3;150;30;1,489063;0,2978127;1,086077;2,380091;0,7805905;1,50893;1,552407;1,429371;0,6542572
14;STRECHED;STANDING;SIX;4;350;15;3,474481;0,1489063;1,129769;4,075932;0,8299196;3,374241;2,340774;2,071905;0,6956027
14;STRECHED;STANDING;SIX;5;150;50;1,489063;0,4963545;0,7237692;2,763312;1,317721;1,535824;1,11471;1,540146;1,104457
14;STRECHED;SITTING;THREE;0;150;30;1,489063;0,2978127;0,8822308;2,93003;1,241591;1,363692;1,06925;1,211985;1,040648
14;STRECHED;SITTING;THREE;1;150;50;1,489063;0,4963545;0,9108462;2,19576;1,228655;1,427915;1,112485;1,221375;1,029805
14;STRECHED;SITTING;THREE;2;150;15;1,489063;0,1489063;1,279692;2,703331;0,7260135;1,453829;1,586155;1,239482;0,6085131
14;STRECHED;SITTING;THREE;3;350;15;3,474481;0,1489063;1,541308;2,987633;0,5684085;3,320755;2,77446;1,800069;0,4764154
14;STRECHED;SITTING;THREE;4;350;50;3,474481;0,4963544;1,427385;2,101746;1,356463;3,42739;1,818324;1,273885;1,136928
