UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
9;STRECHED;SITTING;THREE;0;350;15;3,474481;0,1489063;1,455154;3,164519;1,940093;3,239569;1,416732;0,9735963;1,626102
9;STRECHED;SITTING;THREE;1;350;30;3,474481;0,2978127;1,196923;3,060318;1,811633;3,298593;1,496096;1,249952;1,518432
9;STRECHED;SITTING;THREE;2;150;50;1,489063;0,4963545;0,8165385;2,449364;1,596642;1,465305;0,9394083;1,150476;1,338236
9;STRECHED;SITTING;THREE;3;350;50;3,474481;0,4963544;0,9166923;3,272636;1,676199;3,201521;1,541014;1,681059;1,404917
9;STRECHED;SITTING;THREE;4;150;30;1,489063;0,2978127;0,8403846;3,075928;1,624372;1,537912;0,9610847;1,143625;1,361478
9;STRECHED;SITTING;THREE;5;150;15;1,489063;0,1489063;0,8506923;4,066607;2,079993;1,399511;0,7423029;0,8725868;1,74336
9;APPLIED;SITTING;SIX;0;350;50;3,474481;0,4963544;0,7521539;3,988546;1,540879;3,114604;1,595177;2,120812;1,291498
9;APPLIED;SITTING;SIX;1;150;15;1,489063;0,1489063;0,6330769;5,464473;1,303098;1,480072;1,094784;1,729306;1,0922
9;APPLIED;SITTING;SIX;2;350;30;3,474481;0,2978127;0,7909231;4,631253;11,50891;2,614402;0,2953271;0,3733955;9,646272
9;APPLIED;SITTING;SIX;3;150;30;1,489063;0,2978127;0,6636923;3,894821;2,29516;1,470791;0,7144196;1,076432;1,923704
9;APPLIED;SITTING;SIX;4;350;15;3,474481;0,1489063;0,951;4,842126;2,416435;3,302923;1,242973;1,307017;2,025351
9;APPLIED;SITTING;SIX;5;150;50;1,489063;0,4963545;0,7511538;2,66257;1,650568;1,598565;0,9770923;1,300789;1,383434
9;STRECHED;SITTING;SIX;0;150;30;1,489063;0,2978127;0,7932308;3,258778;1,506287;1,456249;0,9758362;1,230205;1,262505
9;STRECHED;SITTING;SIX;1;150;50;1,489063;0,4963545;0,7315385;2,733964;1,248662;1,395309;1,082324;1,479517;1,046574
9;STRECHED;SITTING;SIX;2;150;15;1,489063;0,1489063;0,9395385;3,682054;1,331595;1,431415;1,053086;1,120854;1,116085
9;STRECHED;SITTING;SIX;3;350;15;3,474481;0,1489063;1,262385;3,647748;0,9847307;3,350219;2,138214;1,69379;0,8253586
9;STRECHED;SITTING;SIX;4;350;50;3,474481;0,4963544;0,9433077;3,180298;1,467983;3,415979;1,734217;1,838442;1,2304
9;STRECHED;SITTING;SIX;5;350;30;3,474481;0,2978127;0,9911538;3,695657;1,378494;3,457517;1,810725;1,826886;1,155394
9;APPLIED;SITTING;THREE;0;350;15;3,474481;0,1489063;0,9846923;4,676447;1,094727;3,278049;1,997978;2,029038;0,9175531
9;APPLIED;SITTING;THREE;1;350;30;3,474481;0,2978127;0,9677692;3,784957;0,7923654;3,389541;2,399923;2,47985;0,6641264
9;APPLIED;SITTING;THREE;2;150;50;1,489063;0,4963545;0,7136154;2,80263;1,180741;1,528058;1,197961;1,678721;0,9896461
9;APPLIED;SITTING;THREE;3;350;50;3,474481;0,4963544;0,8457692;3,547067;1,120577;3,242717;1,961175;2,318807;0,9392195
9;APPLIED;SITTING;THREE;4;150;30;1,489063;0,2978127;0,9103077;2,839658;0,8431619;1,472525;1,457559;1,601171;0,7067018
9;APPLIED;SITTING;THREE;5;150;15;1,489063;0,1489063;0,8986923;3,849406;0,9179675;1,412771;1,344272;1,495809;0,7694006
9;APPLIED;STANDING;THREE;0;350;50;3,474481;0,4963544;0,9051539;3,314354;1,489985;3,30039;1,684841;1,861386;1,248841
9;APPLIED;STANDING;THREE;1;150;15;1,489063;0,1489063;0,8314615;4,160664;0,8495169;1,482283;1,456729;1,75201;0,7120283
9;APPLIED;STANDING;THREE;2;350;30;3,474481;0,2978127;0,9438462;3,880892;1,067882;3,319261;2,038529;2,159811;0,8950527
9;APPLIED;STANDING;THREE;3;150;30;1,489063;0,2978127;1,049692;2,462591;0,6269211;1,507528;1,767508;1,683835;0,5254581
9;APPLIED;STANDING;THREE;4;350;15;3,474481;0,1489063;0,9149231;5,033059;1,080565;3,283648;2,013936;2,201208;0,9056828
9;APPLIED;STANDING;THREE;5;150;50;1,489063;0,4963545;0,7427692;2,692626;1,441091;1,606938;1,080715;1,454981;1,20786
9;STRECHED;STANDING;SIX;0;150;30;1,489063;0,2978127;0,8038462;3,215743;0,6833439;1,397591;1,606548;1,998576;0,5727493
9;STRECHED;STANDING;SIX;1;150;50;1,489063;0,4963545;0,6664615;3,000923;0,6737685;1,463271;1,665288;2,498702;0,5647236
9;STRECHED;STANDING;SIX;2;150;15;1,489063;0,1489063;0,837923;4,128579;0,4267802;1,437894;2,127359;2,538847;0,3577087
9;STRECHED;STANDING;SIX;3;350;15;3,474481;0,1489063;1,065538;4,321629;0,7380065;3,376973;2,47918;2,326692;0,6185651
9;STRECHED;STANDING;SIX;4;350;50;3,474481;0,4963544;0,9039231;3,318866;1,472096;3,38465;1,722118;1,90516;1,233847
9;STRECHED;STANDING;SIX;5;350;30;3,474481;0,2978127;1,038615;3,526777;1,526978;3,375417;1,682808;1,620242;1,279846
9;APPLIED;STANDING;SIX;0;350;15;3,474481;0,1489063;0,9648461;4,772638;0,7776933;3,233168;2,366639;2,452867;0,6518289
9;APPLIED;STANDING;SIX;1;350;30;3,474481;0,2978127;0,8630769;4,244077;0,9888516;3,389639;2,146608;2,487157;0,8288126
9;APPLIED;STANDING;SIX;2;150;50;1,489063;0,4963545;0,6910769;2,894034;0,8122428;1,488575;1,502164;2,173656;0,6807867
9;APPLIED;STANDING;SIX;3;350;50;3,474481;0,4963544;0,7273846;4,124365;1,687288;3,208921;1,536959;2,112993;1,414212
9;APPLIED;STANDING;SIX;4;150;30;1,489063;0,2978127;0,6773077;3,816526;1,087189;1,497417;1,249342;1,84457;0,9112347
9;APPLIED;STANDING;SIX;5;150;15;1,489063;0,1489063;0,9508461;3,638267;0,6684995;1,48664;1,688783;1,776084;0,5603074
9;STRECHED;STANDING;THREE;0;350;50;3,474481;0,4963544;0,7689231;3,901561;1,312628;3,210393;1,784829;2,321206;1,100188
9;STRECHED;STANDING;THREE;1;150;15;1,489063;0,1489063;0,8875384;3,897782;0,964577;1,532006;1,371986;1,545833;0,8084667
9;STRECHED;STANDING;THREE;2;350;30;3,474481;0,2978127;0,8373077;4,374694;0,9587263;3,32046;2,158146;2,577482;0,8035629
9;STRECHED;STANDING;THREE;3;150;30;1,489063;0,2978127;0,7180769;3,599841;0,5897654;1,551403;1,860185;2,590509;0,4943159
9;STRECHED;STANDING;THREE;4;350;15;3,474481;0,1489063;0,9067692;5,078317;1,445712;3,246839;1,698592;1,873235;1,211734
9;STRECHED;STANDING;THREE;5;150;50;1,489063;0,4963545;1,272231;1,572042;0,9257243;1,474508;1,374519;1,080401;0,775902
