UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
3;APPLIED;SITTING;THREE;0;350;15;3,474481;0,1489063;1,066308;4,318511;1,124574;3,270349;1,966459;1,844176;0,9425695
3;APPLIED;SITTING;THREE;1;350;30;3,474481;0,2978127;0,9442308;3,879311;1,633505;3,322046;1,601074;1,695639;1,369133
3;APPLIED;SITTING;THREE;2;150;50;1,489063;0,4963545;0,7651538;2,613853;0,9826451;1,522056;1,349896;1,764215;0,8236105
3;APPLIED;SITTING;THREE;3;350;50;3,474481;0,4963544;0,837;3,584229;2,343647;3,255053;1,256337;1,501;1,964343
3;APPLIED;SITTING;THREE;4;150;30;1,489063;0,2978127;0,8918462;2,89844;0,7309089;1,49963;1,609629;1,804828;0,6126162
3;APPLIED;SITTING;THREE;5;150;15;1,489063;0,1489063;0,9686154;3,571522;1,040883;1,428384;1,246275;1,286657;0,8724227
3;STRECHED;STANDING;SIX;0;350;50;3,474481;0,4963544;0,8468462;3,542556;1,6324;3,258026;1,582965;1,869248;1,368207
3;STRECHED;STANDING;SIX;1;150;15;1,489063;0,1489063;0,8066923;4,288415;0,6696905;1,51455;1,705565;2,11427;0,5613056
3;STRECHED;STANDING;SIX;2;350;30;3,474481;0,2978127;0,9496154;3,857314;1,469106;3,42844;1,73712;1,829288;1,231341
3;STRECHED;STANDING;SIX;3;150;30;1,489063;0,2978127;0,6806154;3,797979;0,9802436;1,572442;1,380803;2,028757;0,8215977
3;STRECHED;STANDING;SIX;4;350;15;3,474481;0,1489063;0,8755385;5,259462;0,9351321;3,426081;2,221487;2,537281;0,7837873
3;STRECHED;STANDING;SIX;5;150;50;1,489063;0,4963545;0,7335384;2,72651;1,518351;1,559486;1,019412;1,389718;1,272616
3;APPLIED;SITTING;SIX;0;150;30;1,489063;0,2978127;0,7577692;3,411279;1,238042;1,49849;1,144289;1,510075;1,037673
3;APPLIED;SITTING;SIX;1;150;50;1,489063;0,4963545;0,6866154;2,912839;0,8882706;1,482707;1,416411;2,062888;0,7445099
3;APPLIED;SITTING;SIX;2;150;15;1,489063;0,1489063;0,8851538;3,908283;0,4578809;1,489805;2,088717;2,359722;0,3837759
3;APPLIED;SITTING;SIX;3;350;15;3,474481;0,1489063;0,8702308;5,291541;1,118705;3,382627;2,008523;2,308034;0,93765
3;APPLIED;SITTING;SIX;4;350;50;3,474481;0,4963544;0,7217692;4,156453;1,85666;3,42842;1,509215;2,090994;1,556172
3;APPLIED;SITTING;SIX;5;350;30;3,474481;0,2978127;0,8216923;4,45783;1,43039;3,514943;1,789659;2,178016;1,198891
3;STRECHED;STANDING;THREE;0;350;15;3,474481;0,1489063;1,575231;2,923294;1,20175;3,283731;1,900126;1,206252;1,007255
3;STRECHED;STANDING;THREE;1;350;30;3,474481;0,2978127;1,024231;3,576308;1,562326;3,383229;1,662437;1,623108;1,309474
3;STRECHED;STANDING;THREE;2;150;50;1,489063;0,4963545;0,6981539;2,864698;1,412102;1,560781;1,074019;1,53837;1,183563
3;STRECHED;STANDING;THREE;3;350;50;3,474481;0,4963544;0,783;3,831418;2,437851;3,315048;1,238679;1,581966;2,043301
3;STRECHED;STANDING;THREE;4;150;30;1,489063;0,2978127;0,7488462;3,451927;0,9106748;1,537881;1,426923;1,905496;0,7632881
3;STRECHED;STANDING;THREE;5;150;15;1,489063;0,1489063;0,9993846;3,461562;1,028112;1,507257;1,302198;1,303;0,8617193
3;STRECHED;SITTING;THREE;0;350;50;3,474481;0,4963544;0,8687692;3,453161;1,308929;3,412164;1,850734;2,130294;1,097088
3;STRECHED;SITTING;THREE;1;150;15;1,489063;0,1489063;1,159231;2,984247;1,052268;1,557937;1,310661;1,13063;0,8819652
3;STRECHED;SITTING;THREE;2;350;30;3,474481;0,2978127;1,013615;3,613762;1,422209;3,380062;1,755584;1,732002;1,192034
3;STRECHED;SITTING;THREE;3;150;30;1,489063;0,2978127;0,903;2,862638;1,274954;1,488202;1,115872;1,235738;1,068611
3;STRECHED;SITTING;THREE;4;350;15;3,474481;0,1489063;1,087769;4,233307;1,102431;3,382843;2,024508;1,861156;0,92401
3;STRECHED;SITTING;THREE;5;150;50;1,489063;0,4963545;0,6569231;3,044497;1,328189;1,472646;1,076396;1,638542;1,113231
3;APPLIED;STANDING;SIX;0;150;30;1,489063;0,2978127;0,7388462;3,498648;0,7230481;1,502681;1,622115;2,19547;0,6060276
3;APPLIED;STANDING;SIX;1;150;50;1,489063;0,4963545;0,6369231;3,140097;1,426729;1,423562;0,9983978;1,567533;1,195823
3;APPLIED;STANDING;SIX;2;150;15;1,489063;0,1489063;0,8177692;4,230328;1,154128;1,494434;1,198406;1,465458;0,9673398
3;APPLIED;STANDING;SIX;3;350;15;3,474481;0,1489063;0,8762308;5,255307;1,309929;3,330273;1,824699;2,082442;1,097925
3;APPLIED;STANDING;SIX;4;350;50;3,474481;0,4963544;0,9558461;3,138581;1,526881;3,386388;1,686096;1,763982;1,279765
3;APPLIED;STANDING;SIX;5;350;30;3,474481;0,2978127;0,9369231;3,909568;1,304884;3,517595;1,885853;2,012815;1,093697
3;STRECHED;SITTING;SIX;0;350;15;3,474481;0,1489063;1,004923;4,582303;1,17674;3,668624;2,041809;2,031806;0,9862928
