id;ConditionHash;TaskNo;CircleNo;TargetNo;ArmPos;BodyPos;DOF;ballistic;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;targetID;target.x;target.y;pressed.x;pressed.y;click.x;click.y;difference.x;difference.y
2;872351094;0;0;0;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;0;0;2,73;0,1021295;1,194647;-0,005791999;2,671937;0,1079215;-1,47729
2;872351094;0;0;0;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;0;0;2,73;-0,005278416;2,63761;-0,0169291;2,735706;0,01165068;-0,09809542
2;872351094;0;0;6;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;6;0,4188024;-0,7191482;-0,01215626;2,663568;0,4194491;-0,7676187;-0,4316053;3,431186
2;872351094;0;0;6;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;6;0,4188024;-0,7191482;0,434275;-0,7304776;0,4500575;-0,6775273;-0,01578251;-0,05295026
2;872351094;0;0;12;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;12;-0,8132655;2,529548;0,4263978;-0,7268317;-0,79319;2,487772;1,219588;-3,214604
2;872351094;0;0;12;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;12;-0,8132655;2,529548;-0,820626;2,504869;-0,8057663;2,585747;-0,01485968;-0,08087802
2;872351094;0;0;5;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;5;1,160465;-0,3298937;-0,8165715;2,555582;1,105588;-0,3247714;-1,922159;2,880354
2;872351094;0;0;5;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;5;1,160465;-0,3298937;1,12614;-0,3690853;1,156816;-0,3545514;-0,03067636;-0,01453388
2;872351094;0;0;11;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;11;-1,440222;1,974113;1,098608;-0,3283757;-1,40665;1,952594;2,505258;-2,280969
2;872351094;0;0;11;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;11;-1,440222;1,974113;-1,35542;1,947997;-1,406304;1,933012;0,05088472;0,01498532
2;872351094;0;0;4;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;4;1,636278;0,3594415;1,127291;0,04411185;1,689816;0,4285551;-0,5625253;-0,3844433
2;872351094;0;0;4;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;4;1,636278;0,3594415;1,574749;0,3941457;1,614128;0,3920055;-0,03937817;0,002140224
2;872351094;0;0;10;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;10;-1,737241;1,190939;1,596765;0,377706;-1,614963;1,291634;3,211728;-0,9139282
2;872351094;0;0;10;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;10;-1,737241;1,190939;-1,620957;1,210133;-1,722126;1,168957;0,1011686;0,04117596
2;872351094;0;0;3;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;3;1,737241;1,190939;-1,708531;1,158655;1,651132;1,204321;-3,359663;-0,0456661
2;872351094;0;0;3;APPLIED;SITTING;SIX;False;350;15;3,474481;0,1489063;3;1,737241;1,190939;1,683464;1,182313;1,740491;1,181865;-0,05702639;0,0004478693
2;872351094;0;0;9;APPLIED;SITTING;SIX;True;350;15;3,474481;0,1489063;9;-1,636278;0,3594415;1,751578;1,15104;-1,528137;0,5046201;3,279714;0,6464195
