UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
6;APPLIED;STANDING;SIX;0;350;15;3,474481;0,1489063;1,028;4,479437;1,091276;3,282898;2,002995;1,948439;0,9146601
6;APPLIED;STANDING;SIX;1;350;30;3,474481;0,2978127;0,7997692;4,580027;1,304639;3,39967;1,850332;2,313582;1,093492
6;APPLIED;STANDING;SIX;2;150;50;1,489063;0,4963545;0,6046923;3,307467;0,9148796;1,479078;1,387744;2,294959;0,7668124
6;APPLIED;STANDING;SIX;3;350;50;3,474481;0,4963544;0,6518462;4,602313;1,623021;3,246548;1,585112;2,431728;1,360346
6;APPLIED;STANDING;SIX;4;150;30;1,489063;0,2978127;0,6201538;4,16826;0,6716207;1,511032;1,700364;2,741842;0,5629234
6;APPLIED;STANDING;SIX;5;150;15;1,489063;0,1489063;0,7466154;4,633485;0,743159;1,459348;1,567403;2,099345;0,6228837
6;APPLIED;STANDING;THREE;0;350;50;3,474481;0,4963544;0,8801538;3,408495;1,313058;3,24877;1,796681;2,041327;1,100548
6;APPLIED;STANDING;THREE;1;150;15;1,489063;0,1489063;0,7168462;4,825905;0,9912774;1,524716;1,343767;1,874554;0,8308458
6;APPLIED;STANDING;THREE;2;350;30;3,474481;0,2978127;0,7295384;5,020935;1,14376;3,280243;1,951568;2,675072;0,9586504
6;APPLIED;STANDING;THREE;3;150;30;1,489063;0,2978127;0,6134616;4,213732;0,6730399;1,502569;1,692655;2,759187;0,5641129
6;APPLIED;STANDING;THREE;4;350;15;3,474481;0,1489063;0,8561538;5,378545;1,470888;3,280228;1,691579;1,975788;1,232835
6;APPLIED;STANDING;THREE;5;150;50;1,489063;0,4963545;0,527923;3,788431;1,096439;1,510417;1,249486;2,366795;0,9189873
6;STRECHED;STANDING;THREE;0;150;30;1,489063;0,2978127;0,7484615;3,453701;1,177772;1,348752;1,101094;1,471143;0,9871572
6;STRECHED;STANDING;THREE;1;150;50;1,489063;0,4963545;0,5542307;3,608605;1,217397;1,372823;1,089275;1,965381;1,02037
6;STRECHED;STANDING;THREE;2;150;15;1,489063;0,1489063;0,7534615;4,591384;0,6512896;1,434597;1,67929;2,228766;0,5458827
