UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
8;STRECHED;SITTING;SIX;0;350;15;3,474481;0,1489063;2,154692;2,137132;2,202053;3,255631;1,30944;0,6077154;1,845666
8;STRECHED;SITTING;SIX;1;350;30;3,474481;0,2978127;1,481154;2,473048;1,615632;3,434414;1,644198;1,110079;1,354152
8;STRECHED;SITTING;SIX;2;150;50;1,489063;0,4963545;1,045;1,913876;2,132823;1,564957;0,7938954;0,7597085;1,787639
8;STRECHED;SITTING;SIX;3;350;50;3,474481;0,4963544;1,066154;2,813853;1,453076;3,245497;1,693113;1,588057;1,217905
8;STRECHED;SITTING;SIX;4;150;30;1,489063;0,2978127;1,260231;2,051182;2,040202;1,418166;0,7613794;0,6041587;1,710009
8;STRECHED;SITTING;SIX;5;150;15;1,489063;0,1489063;1,374692;2,516513;1,462343;1,382026;0,9598268;0,6982121;1,225673
8;STRECHED;SITTING;THREE;0;350;50;3,474481;0,4963544;1,337615;2,242797;1,345832;3,281583;1,781708;1,332003;1,128018
8;STRECHED;SITTING;THREE;1;150;15;1,489063;0,1489063;1,467;2,358167;0,9565899;1,557025;1,393791;0,9500963;0,8017722
8;STRECHED;SITTING;THREE;2;350;30;3,474481;0,2978127;1,333692;2,746484;1,39992;3,470631;1,79874;1,348692;1,173352
8;STRECHED;SITTING;THREE;3;150;30;1,489063;0,2978127;0,9219231;2,803881;1,093508;1,549474;1,273203;1,381029;0,9165308
8;STRECHED;SITTING;THREE;4;350;15;3,474481;0,1489063;1,838615;2,504527;1,243034;3,415945;1,906147;1,03673;1,041858
8;STRECHED;SITTING;THREE;5;150;50;1,489063;0,4963545;1,011385;1,977487;1,410037;1,556937;1,073259;1,061178;1,181832
8;APPLIED;STANDING;THREE;0;150;30;1,489063;0,2978127;1,147538;2,252615;1,785958;1,416312;0,8423972;0,7340906;1,496912
8;APPLIED;STANDING;THREE;1;150;50;1,489063;0,4963545;1,062923;1,881604;2,083681;1,327868;0,7112926;0,6691853;1,746451
8;APPLIED;STANDING;THREE;2;150;15;1,489063;0,1489063;1,250538;2,766354;1,82167;1,371947;0,80993;0,647665;1,526845
8;APPLIED;STANDING;THREE;3;350;15;3,474481;0,1489063;1,657462;2,778262;1,641242;3,320315;1,596005;0,9629214;1,375618
8;APPLIED;STANDING;THREE;4;350;50;3,474481;0,4963544;1,151077;2,606255;1,807567;3,383852;1,52208;1,322309;1,515024
8;APPLIED;STANDING;THREE;5;350;30;3,474481;0,2978127;1,230385;2,977089;1,073293;3,428944;2,068597;1,681261;0,8995881
8;APPLIED;SITTING;SIX;0;350;15;3,474481;0,1489063;1,498231;3,073533;1,32319;3,276459;1,797503;1,199751;1,109041
8;APPLIED;SITTING;SIX;1;350;30;3,474481;0,2978127;1,230231;2,977462;2,156325;3,304405;1,340519;1,089648;1,807338
8;APPLIED;SITTING;SIX;2;150;50;1,489063;0,4963545;0,9781538;2,044668;1,025478;1,464651;1,279924;1,30851;0,8595114
8;APPLIED;SITTING;SIX;3;350;50;3,474481;0,4963544;1,119923;2,678755;2,210158;3,244871;1,303437;1,163863;1,852459
8;APPLIED;SITTING;SIX;4;150;30;1,489063;0,2978127;0,9315385;2,774939;1,13477;1,463489;1,195145;1,28298;0,951115
8;APPLIED;SITTING;SIX;5;150;15;1,489063;0,1489063;1,199462;2,884154;0,9849188;1,402393;1,27731;1,064903;0,8255163
8;APPLIED;STANDING;SIX;0;350;50;3,474481;0,4963544;1,173538;2,556371;1,599938;3,289411;1,611626;1,373305;1,340999
8;APPLIED;STANDING;SIX;1;150;15;1,489063;0,1489063;1,107923;3,122448;0,9928701;1,517982;1,3385;1,208117;0,8321807
8;APPLIED;STANDING;SIX;2;350;30;3,474481;0,2978127;1,118461;3,275003;1,44906;3,2796;1,706314;1,525591;1,214539
8;APPLIED;STANDING;SIX;3;150;30;1,489063;0,2978127;0,9636154;2,682567;0,7624902;1,489746;1,562568;1,621568;0,6390862
