UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
2;APPLIED;SITTING;SIX;0;350;15;3,474481;0,1489063;0,7482308;6,154334;1,211487;3,339669;1,909455;2,55196;1,015416
2;APPLIED;SITTING;SIX;1;350;30;3,474481;0,2978127;0,6524615;5,61407;0,6478966;3,422041;2,651171;4,063337;0,5430388
2;APPLIED;SITTING;SIX;2;150;50;1,489063;0,4963545;0,6073846;3,292806;1,378708;1,509163;1,066689;1,756201;1,155573
2;APPLIED;SITTING;SIX;3;350;50;3,474481;0,4963544;0,8733077;3,435215;1,616973;3,329504;1,613106;1,847122;1,355277
2;APPLIED;SITTING;SIX;4;150;30;1,489063;0,2978127;0,5480769;4,716423;0,7192518;1,494529;1,621944;2,959336;0,6028457
2;APPLIED;SITTING;SIX;5;150;15;1,489063;0,1489063;0,6071538;5,697784;0,6263031;1,409946;1,700981;2,801565;0,5249401
2;APPLIED;SITTING;THREE;0;350;50;3,474481;0,4963544;0,6503077;4,613201;1,639871;3,277429;1,584284;2,436207;1,374469
2;APPLIED;SITTING;THREE;1;150;15;1,489063;0,1489063;0,6963077;4,968251;0,7020708;1,480559;1,636379;2,35008;0,5884453
2;APPLIED;SITTING;THREE;2;350;30;3,474481;0,2978127;0,692;5,293302;1,050222;3,32098;2,057335;2,973028;0,8802509
2;APPLIED;SITTING;THREE;3;150;30;1,489063;0,2978127;0,5579231;4,633188;1,273049;1,466003;1,105389;1,981257;1,067014
2;APPLIED;SITTING;THREE;4;350;15;3,474481;0,1489063;0,7204615;6,391544;1,264569;3,33734;1,863586;2,586656;1,059907
2;APPLIED;SITTING;THREE;5;150;50;1,489063;0,4963545;0,5246154;3,812317;2,487297;1,514515;0,6860744;1,307766;2,084745
2;STRECHED;SITTING;THREE;0;150;30;1,489063;0,2978127;0,7130769;3,625082;1,067868;1,499178;1,265376;1,774529;0,8950406
2;STRECHED;SITTING;THREE;1;150;50;1,489063;0,4963545;0,5151538;3,882335;1,609751;1,350598;0,8789297;1,70615;1,349223
2;STRECHED;SITTING;THREE;2;150;15;1,489063;0,1489063;0,8603077;4,021156;0,8961388;1,44247;1,383857;1,60856;0,7511047
2;STRECHED;SITTING;THREE;3;350;15;3,474481;0,1489063;1,123769;4,097693;1,226196;3,417115;1,920964;1,709394;1,027745
2;STRECHED;SITTING;THREE;4;350;50;3,474481;0,4963544;0,6346154;4,727273;1,347919;3,442786;1,829505;2,882856;1,129767
2;STRECHED;SITTING;THREE;5;350;30;3,474481;0,2978127;0,709;5,166382;1,425579;3,463728;1,778082;2,507873;1,194858
2;STRECHED;STANDING;SIX;0;350;15;3,474481;0,1489063;0,9352308;4,92377;0,6925476;3,308541;2,530407;2,70565;0,5804634
2;STRECHED;STANDING;SIX;1;350;30;3,474481;0,2978127;0,6198462;5,909474;1,568419;3,542936;1,704395;2,749706;1,314581
2;STRECHED;STANDING;SIX;2;150;50;1,489063;0,4963545;0,4724616;4,233149;1,405848;1,53942;1,066958;2,258296;1,178321
2;STRECHED;STANDING;SIX;3;350;50;3,474481;0,4963544;0,591;5,076142;2,071516;3,363043;1,391476;2,354443;1,736255
2;STRECHED;STANDING;SIX;4;150;30;1,489063;0,2978127;0,9967692;2,593341;1,316998;1,588884;1,141723;1,145424;1,103851
2;STRECHED;STANDING;SIX;5;150;15;1,489063;0,1489063;0,8180769;4,228736;1,663574;1,470217;0,913623;1,116794;1,394335
2;STRECHED;SITTING;SIX;0;350;50;3,474481;0,4963544;0,627;4,784689;1,733039;3,387333;1,562944;2,492734;1,452559
2;STRECHED;SITTING;SIX;1;150;15;1,489063;0,1489063;0,8703077;3,974952;0,8081951;1,524192;1,529032;1,756886;0,6773942
2;STRECHED;SITTING;SIX;2;350;30;3,474481;0,2978127;0,6370769;5,749643;1,023214;3,452677;2,129067;3,341932;0,8576133
2;STRECHED;SITTING;SIX;3;150;30;1,489063;0,2978127;0,5134615;5,034384;1,144385;1,562868;1,242257;2,419377;0,959174
2;STRECHED;SITTING;SIX;4;350;15;3,474481;0,1489063;1,218923;3,777812;1,273664;3,451205;1,89129;1,551607;1,06753
2;STRECHED;SITTING;SIX;5;150;50;1,489063;0,4963545;0,4263846;4,6906;1,365525;1,538575;1,088636;2,553177;1,144524
2;STRECHED;STANDING;THREE;0;150;30;1,489063;0,2978127;0,5669231;4,559636;1,423646;1,408205;0,9921547;1,750069;1,193239
2;STRECHED;STANDING;THREE;1;150;50;1,489063;0,4963545;0,4875385;4,102241;1,032535;1,416491;1,246017;2,55573;0,8654264
2;STRECHED;STANDING;THREE;2;150;15;1,489063;0,1489063;0,5464615;6,330604;0,947872;1,415396;1,318019;2,411915;0,7944653
2;STRECHED;STANDING;THREE;3;350;15;3,474481;0,1489063;1,983231;2,321899;0,9497958;3,262098;2,14878;1,083475;0,7960777
2;STRECHED;STANDING;THREE;4;350;50;3,474481;0,4963544;0,5354615;5,602643;2,364788;3,281586;1,255614;2,344919;1,982063
2;STRECHED;STANDING;THREE;5;350;30;3,474481;0,2978127;0,7279231;5,032077;1,140137;3,360025;1,980769;2,721125;0,9556136
2;APPLIED;STANDING;THREE;0;350;15;3,474481;0,1489063;0,8223846;5,599402;1,373202;3,26521;1,756087;2,13536;1,150959
2;APPLIED;STANDING;THREE;1;350;30;3,474481;0,2978127;0,7039231;5,203643;1,694571;3,378784;1,58202;2,247433;1,420316
