UserId;ArmPos;BodyPos;DOF;circleID;targetDistanceLocal;targetWidthLocal;targetDistance;targetWidth;MeanMT;TroughputRegular;EffectiveWidth;EffectiveDistance;EffectiveID;EffectiveTroughput;SumOfDeviations
7;APPLIED;STANDING;THREE;0;350;15;3,474481;0,1489063;1,329462;3,463704;1,256703;3,174952;1,818202;1,367623;1,053314
7;APPLIED;STANDING;THREE;1;350;30;3,474481;0,2978127;1,075615;3,40546;1,393681;3,41114;1,785583;1,660057;1,168123
7;APPLIED;STANDING;THREE;2;150;50;1,489063;0,4963545;0,7814615;2,559307;1,138407;1,537879;1,233216;1,578089;0,9541632
7;APPLIED;STANDING;THREE;3;350;50;3,474481;0,4963544;1,006231;2,981424;2,564134;3,283449;1,189369;1,182004;2,149146
7;APPLIED;STANDING;THREE;4;150;30;1,489063;0,2978127;0,8732308;2,960228;1,478248;1,459262;0,9907054;1,134529;1,239004
7;APPLIED;STANDING;THREE;5;150;15;1,489063;0,1489063;0,9922308;3,486519;1,262941;1,389971;1,07079;1,079174;1,058542
7;STRECHED;SITTING;SIX;0;350;50;3,474481;0,4963544;1,016231;2,952085;2,11892;3,114941;1,304546;1,283711;1,775987
7;STRECHED;SITTING;SIX;1;150;15;1,489063;0,1489063;1,074692;3,218997;0,8358075;1,496419;1,480466;1,377572;0,7005377
7;STRECHED;SITTING;SIX;2;350;30;3,474481;0,2978127;1,041846;3,515841;1,73763;3,313006;1,539344;1,477516;1,456407
7;STRECHED;SITTING;SIX;3;150;30;1,489063;0,2978127;0,8799231;2,937714;1,494626;1,479576;0,9927183;1,128188;1,252731
7;STRECHED;SITTING;SIX;4;350;15;3,474481;0,1489063;1,378923;3,339463;1,083189;3,338918;2,029449;1,471763;0,9078825
7;STRECHED;SITTING;SIX;5;150;50;1,489063;0,4963545;0,7906923;2,529429;1,508534;1,462106;0,9776265;1,236418;1,264388
7;APPLIED;STANDING;SIX;0;150;30;1,489063;0,2978127;0,8262308;3,128621;0,9058474;1,355325;1,319731;1,597291;0,7592421
7;APPLIED;STANDING;SIX;1;150;50;1,489063;0,4963545;0,7292308;2,742616;1,264355;1,410998;1,081328;1,482834;1,059727
7;APPLIED;STANDING;SIX;2;150;15;1,489063;0,1489063;1,187308;2,913677;0,9549809;1,385905;1,293511;1,089449;0,8004236
7;APPLIED;STANDING;SIX;3;350;15;3,474481;0,1489063;1,449615;3,176609;1,06164;3,314223;2,043273;1,409528;0,8898208
7;APPLIED;STANDING;SIX;4;350;50;3,474481;0,4963544;0,9433077;3,180298;1,18437;3,330845;1,930674;2,046707;0,9926879
7;APPLIED;STANDING;SIX;5;350;30;3,474481;0,2978127;0,9473077;3,866711;1,927707;3,257652;1,427558;1,506963;1,615721
7;STRECHED;SITTING;THREE;0;350;15;3,474481;0,1489063;1,632923;2,820011;0,8463297;3,309088;2,295702;1,405885;0,7093569
7;STRECHED;SITTING;THREE;1;350;30;3,474481;0,2978127;1,185;3,09111;1,427487;3,356009;1,744588;1,472226;1,196458
7;STRECHED;SITTING;THREE;2;150;50;1,489063;0,4963545;0,8152308;2,453293;1,276773;1,432841;1,085585;1,331629;1,070136
7;STRECHED;SITTING;THREE;3;350;50;3,474481;0,4963544;1,003077;2,990798;1,572405;3,236238;1,612657;1,607711;1,317921
7;STRECHED;SITTING;THREE;4;150;30;1,489063;0,2978127;0,8526923;3,03153;1,167227;1,533859;1,210454;1,419568;0,9783189
7;STRECHED;SITTING;THREE;5;150;15;1,489063;0,1489063;1,230923;2,810437;0,7530797;1,450404;1,548912;1,258334;0,6311988
7;STRECHED;STANDING;THREE;0;350;50;3,474481;0,4963544;0,9987692;3,003697;1,18976;3,09497;1,848534;1,850812;0,9972054
7;STRECHED;STANDING;THREE;1;150;15;1,489063;0,1489063;1,070846;3,230559;1,068154;1,502348;1,266931;1,183112;0,89528
7;STRECHED;STANDING;THREE;2;350;30;3,474481;0,2978127;1,018538;3,596295;1,685176;3,158162;1,523102;1,49538;1,412442
7;STRECHED;STANDING;THREE;3;150;30;1,489063;0,2978127;0,7635385;3,385504;0,9601415;1,536938;1,378923;1,805964;0,804749
7;STRECHED;STANDING;THREE;4;350;15;3,474481;0,1489063;1,037923;4,436612;0,9018517;3,334352;2,23181;2,150265;0,755893
7;STRECHED;STANDING;THREE;5;150;50;1,489063;0,4963545;0,6893846;2,901138;0,9930429;1,455505;1,301999;1,888639;0,8323256
7;APPLIED;SITTING;SIX;0;150;30;1,489063;0,2978127;0,9031538;2,862151;1,171995;1,326937;1,092346;1,209479;0,9823152
7;APPLIED;SITTING;SIX;1;150;50;1,489063;0,4963545;0,6860769;2,915125;1,366505;1,379027;1,006595;1,467175;1,145345
7;APPLIED;SITTING;SIX;2;150;15;1,489063;0,1489063;0,9791539;3,533083;0,7943144;1,399792;1,465851;1,497059;0,6657599
7;APPLIED;SITTING;SIX;3;350;15;3,474481;0,1489063;1,139308;4,041807;0,995016;3,305295;2,11165;1,85345;0,8339794
