Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4391669;0,8014848;0,6862475;345,9065;17,36971;359,0872
0,4390506;0,801541;0,6861396;345,8942;17,36987;359,0879
0,4390337;0,8015058;0,6861704;345,8918;17,3644;359,0911
0,4390376;0,8014857;0,6861442;345,8973;17,37258;359,0863
0,438984;0,8014013;0,6862466;345,9083;17,36841;359,0795
0,4389826;0,8013752;0,6862689;345,9064;17,36755;359,0809
0,4389812;0,8013514;0,686272;345,9065;17,36976;359,0811
0,439141;0,8013943;0,6863134;345,9135;17,37384;359,0881
0,4387738;0,8012173;0,6860883;345,892;17,36951;359,0899
0,4387665;0,8012179;0,6860923;345,8876;17,37162;359,0884
0,4388946;0,8013266;0,6860812;345,8986;17,37502;359,0927
0,4389591;0,8013298;0,6861007;345,8916;17,36755;359,0891
0,4389668;0,8013079;0,6860968;345,8945;17,36899;359,0923
0,4388021;0,801308;0,6861923;345,8998;17,3627;359,106
0,4387816;0,8012772;0,6861726;345,8998;17,36135;359,102
0,4387662;0,8012654;0,68616;345,8999;17,3591;359,1055
0,4389734;0,8012794;0,6860448;345,9047;17,36834;359,1053
0,4385947;0,8011264;0,6857798;345,8882;17,36695;359,11
0,4385685;0,8010904;0,6857439;345,8871;17,36428;359,115
0,4386491;0,8014237;0,6859968;345,9023;17,36321;359,1209
0,438671;0,8010727;0,6860805;345,9077;17,35962;359,1106
0,4386584;0,8010439;0,6860516;345,9081;17,36152;359,1107
0,4388424;0,8011749;0,6860317;345,915;17,37321;359,1083
0,4388393;0,8012559;0,6859515;345,8988;17,36563;359,1114
0,4388238;0,8012508;0,6859448;345,9025;17,35945;359,1134
0,4389436;0,8014446;0,6860711;345,9194;17,36464;359,1167
0,4387857;0,801211;0,685984;345,9104;17,3685;359,1085
0,4387783;0,8011973;0,6859639;345,9087;17,36687;359,1046
0,4390692;0,8015391;0,6862197;345,9164;17,36074;359,1121
0,4390783;0,8015303;0,6862338;345,9211;17,36021;359,1084
0,4390771;0,8015438;0,6862408;345,9173;17,35939;359,1005
0,4392087;0,8017011;0,686335;345,9328;17,36157;359,1079
0,4389893;0,8015929;0,6862145;345,9095;17,36252;359,0999
0,4389877;0,8015684;0,6862162;345,9111;17,36607;359,0987
0,4391063;0,8017004;0,6862754;345,9307;17,36372;359,1043
0,439176;0,8016855;0,6863177;345,9225;17,36215;359,0995
0,4391851;0,8016751;0,6863275;345,9205;17,36618;359,0928
0,4391401;0,8016025;0,6863438;345,9205;17,36221;359,0908
0,4391554;0,8015988;0,686357;345,9186;17,36422;359,0865
0,4391453;0,801587;0,6863811;345,9157;17,36007;359,0916
0,4389975;0,8014562;0,6860487;345,8925;17,3688;359,0874
0,4389907;0,8014392;0,6859986;345,8897;17,36895;359,0941
0,4389827;0,8014959;0,6859911;345,8994;17,37103;359,0974
0,4390814;0,8017567;0,6862181;345,9145;17,37453;359,0894
0,4390321;0,8014426;0,6863179;345,9176;17,36918;359,0811
0,4390225;0,8014386;0,6863104;345,9117;17,3696;359,0697
0,4388362;0,801658;0,686191;345,8974;17,36756;359,0795
0,4388058;0,801595;0,6861786;345,8979;17,36618;359,0996
0,4387771;0,8016476;0,6861932;345,9001;17,36496;359,0963
0,4393861;0,801537;0,6865623;345,9297;17,37256;359,0749
0,4394002;0,8014706;0,686602;345,9301;17,3712;359,0784
0,439414;0,8014289;0,6866143;345,9302;17,36657;359,083
0,4390287;0,8017482;0,6864786;345,9091;17,36025;359,1074
0,439014;0,8017235;0,686515;345,9103;17,35728;359,116
0,4389884;0,8017268;0,6865519;345,9127;17,35142;359,1102
0,4389502;0,8014657;0,6859138;345,895;17,37616;359,0928
0,4389352;0,8014603;0,6858829;345,8937;17,37098;359,0956
0,4389403;0,8014483;0,6858388;345,8959;17,37617;359,0967
0,4389958;0,8014119;0,686301;345,9185;17,3653;359,1059
0,4389871;0,8013987;0,6863017;345,9163;17,36481;359,1003
0,4389934;0,8013763;0,6863066;345,9185;17,36915;359,0968
0,4386992;0,8013785;0,6860089;345,9082;17,37219;359,1028
0,4386511;0,8014032;0,6859949;345,9003;17,36319;359,1055
0,4386535;0,8014097;0,6859821;345,9048;17,37027;359,0974
0,4387696;0,8015671;0,6860157;345,9167;17,37386;359,1015
0,4386591;0,8011704;0,6859978;345,9067;17,37407;359,093
0,4386352;0,8010543;0,6859214;345,8982;17,36256;359,1055
0,4387544;0,8014003;0,6860642;345,916;17,36427;359,136
0,4387072;0,8011503;0,6861769;345,9161;17,37387;359,0948
0,4387334;0,8011222;0,6862643;345,9269;17,36983;359,0805
0,4387332;0,8011486;0,686229;345,9239;17,37336;359,0739
0,4388281;0,8014531;0,6865408;345,939;17,37186;359,0824
0,4383816;0,8012952;0,6862614;345,9169;17,3669;359,0816
0,4383593;0,8013194;0,6862657;345,9099;17,36752;359,0891
0,438934;0,8005028;0,6849311;345,8877;17,43147;359,0344
0,4386641;0,8003252;0,6846315;345,8636;17,43158;359,0297
0,438814;0,8008941;0,6865388;345,9527;17,3664;359,0697
0,4388163;0,8008585;0,686604;345,9519;17,36848;359,0728
0,4388266;0,8007843;0,6866897;345,9578;17,36817;359,0709
0,4382197;0,8006621;0,6853496;345,8904;17,39318;359,0623
0,4382101;0,800671;0,685293;345,8872;17,39523;359,0666
0,4381987;0,800647;0,6852549;345,8909;17,39593;359,0728
0,4388284;0,8008506;0,686146;345,9473;17,38687;359,0701
