name;round;trial;ArmPos;BodyPos;DOF;ballistic;timestamp;event;TriggerValue;ControllerPos.X;ControllerPos.Y;ControllerPos.Z;ControllerRot.X;ControllerRot.Y;ControllerRot.Z;TargetID;TargetPos.X;TargetPos.Y;TargetPos.Z;PointerPos.X;PointerPos.Y
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235751;None;0.8313726;0;1;0;0.1417519;0.8574442;26.25602;0;-2.8;2.78;8;0.1196559;0.9802178;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235761;TriggerPressedFirst;0.572549;0;1;0;0.2459728;0.6782261;26.45969;0;-2.8;2.78;8;0.09464346;0.9656746;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235772;TriggerPressed;0.4627451;0;1;0;0.3270437;0.5459742;26.60602;0;-2.8;2.78;8;0.07618703;0.9543621;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235785;TriggerPressed;0.2705882;0;1;0;0.4433018;0.3990224;26.67575;0;-2.8;2.78;8;0.05568011;0.9381393;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235795;TriggerPressed;0.2705882;0;1;0;0.5503094;0.3020708;26.50698;0;-2.8;2.78;8;0.04215107;0.9232069;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235806;Released;0.2705882;0;1;0;0.611854;0.2634825;26.21371;0;-2.8;2.78;8;0.03676637;0.9146183;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235817;None;0.05882353;0;1;0;0.6798376;0.2430982;26.00079;0;-2.8;2.78;8;0.0339219;0.9051308;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235828;None;0.0509804;0;1;0;0.6838264;0.3090856;25.89013;0;-2.8;2.78;8;0.04312994;0.9045736;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235839;None;0.03137255;0;1;0;0.6729612;0.3436619;25.91861;0;-2.8;2.78;8;0.04795484;0.9060896;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235850;None;0.02352941;0;1;0;0.5173988;0.4233436;26.19456;0;-2.8;2.78;8;0.05907405;0.9277987;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235861;None;0.01176471;0;1;0;0.4142148;0.4543884;26.22106;0;-2.8;2.78;8;0.06340627;0.942198;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235873;None;0.003921569;0;1;0;0.3390044;0.4935083;26.16367;0;-2.8;2.78;8;0.0688654;0.9526933;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235883;None;0;0;1;0;0.2765071;0.5715171;26.08772;0;-2.8;2.78;8;0.0797516;0.9614142;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235894;None;0;0;1;0;0.2555855;0.5801634;26.10551;0;-2.8;2.78;8;0.08095823;0.9643338;
Marco;1;1;ausgestreckt;sitzend;3;True;1547636235905;None;0;0;1;0;0.2465594;0.5423651;26.15611;0;-2.8;2.78;8;0.07568339;0.9655936;
